=== CLBJ Spectral vs Soil Moisture Correlation (Spearman) ===
Overlap Window: 2021-07-31 to 2025-06-30
Sample Size: 48 months

Feature    Rho  PValue  N
    B06 0.2755  0.0580 48
    B03 0.2753  0.0583 48
    B08 0.2622  0.0719 48
    B07 0.2610  0.0732 48
    B09 0.2449  0.0934 48
    B8A 0.2426  0.0966 48
   NDMI 0.2200  0.1329 48
    EVI 0.2155  0.1413 48
    B02 0.2117  0.1486 48
    B01 0.1856  0.2065 48
    B05 0.1539  0.2962 48
    B11 0.1449  0.3257 48
   SAVI 0.1392  0.3455 48
    B12 0.0918  0.5347 48
    B04 0.0744  0.6155 48
   NDWI 0.0612  0.6793 48
   NDVI 0.0392  0.7914 48
   NDRE 0.0204  0.8905 48
